text,label,lang
皱起眉头撅嘴,生气,zh
厌恶地摇了摇头,厌恶,zh
震惊,惊讶,zh
咬着牙冷哼,生气,zh
讨厌,厌恶,zh
脚尖轻轻磨蹭着地面,害羞,zh
紧张地绷紧身体,担心,zh
泪湿地毯,哭泣,zh
躲进你怀里,害怕,zh
怒气冲冲,生气,zh
尾巴摇成风扇,高兴,zh
突然蒸发,难为情,zh
轻轻拉住你的袖子,害羞,zh
溢出,心动,zh
踱步,自信,zh
浑身紧绷,心动,zh
生气地撅起嘴,生气,zh
目瞪口呆地看着,惊讶,zh
低头抹眼泪,哭泣,zh
突然变得局促,慌张,zh
耳朵尖微微颤抖,害羞,zh
专注地看着,认真,zh
腰肢轻扭,心动,zh
灵魂拷问,疑惑,zh
把帽子往下拉了拉,无奈,zh
羞耻漏声,难为情,zh
眼神充满期待,高兴,zh
茫然,平静,zh
嫌弃地捂耳朵,厌恶,zh
studying with full attention,认真,en
尾巴害羞地摆动了一下,害羞,zh
信手拈来,自信,zh
惊缩,惊讶,zh
脸红爆炸,难为情,zh
惊讶地瞪大眼,惊讶,zh
哭到打嗝,哭泣,zh
苦笑,无奈,zh
抢零食,调皮,zh
把玩自己的围巾末端,无奈,zh
嫌弃地拍衣服,厌恶,zh
羞愤,生气,zh
呆若木鸡,惊讶,zh
咬紧牙关,紧张,zh
兴奋地拍打栏杆,高兴,zh
软绵绵地趴在你身上,高兴,zh
眨眼次数变多,紧张,zh
开心得语速飞快,高兴,zh
吹吹风,平静,zh
不解地歪着耳朵思考,疑惑,zh
激动地挥舞双手,高兴,zh
泪光闪烁,哭泣,zh
出乎意料,惊讶,zh
攥紧袖口,紧张,zh
guess i have no choice,无奈,en
哭到抓头发,哭泣,zh
咬紧嘴唇,认真,zh
突然牛哞,难为情,zh
激动得脸颊泛红,高兴,zh
轻轻用爪子挡住脸,害羞,zh
恼火地甩尾巴,生气,zh
呜咽,哭泣,zh
假装摔倒,调皮,zh
轻轻靠近你,高兴,zh
运筹帷幄,自信,zh
气呼呼地鼓起脸颊,生气,zh
手忙脚乱,慌张,zh
耳朵微微颤抖,紧张,zh
撇嘴瞪你,生气,zh
开心地小跳着前进,高兴,zh
脸颊通红,害羞,zh
小声地咕哝了一下,害羞,zh
困,平静,zh
皱起眉毛盯着你,厌恶,zh
淡定指挥,自信,zh
把围巾拉高遮住半张脸,无奈,zh
不安で夜も眠れない,担心,ja
认真,认真,zh
害怕,害怕,zh
甩了甩尾巴似乎想甩掉不爽,厌恶,zh
突然降智,难为情,zh
害羞得缩了缩脖子,害羞,zh
smirking with mischief,调皮,en
厌恶地后退一步,厌恶,zh
用胶带粘人,调皮,zh
耍赖,调皮,zh
不安地看向窗外,担心,zh
露出小虎牙,高兴,zh
let me pull a little prank,调皮,en
雀跃,高兴,zh
轻轻摇晃尾巴,高兴,zh
轻轻扭动身体,害羞,zh
用手扇风假装冷静,无奈,zh
若有所思地敲桌子,认真,zh
困惑,疑惑,zh
当场去世,难为情,zh
不解地歪着头思考你的说法,疑惑,zh
不慌不忙,自信,zh
突然忘词卡壳,紧张,zh
厌恶地深呼吸又憋住,厌恶,zh
睡着,平静,zh
突然黑化,生气,zh
匆忙后退,慌张,zh
嘴角止不住地上扬,高兴,zh
so embarrassed i could disappear,难为情,en
惊骇,惊讶,zh
胸有成竹,自信,zh
泪水涟涟,哭泣,zh
把书倒着拿,调皮,zh
震惊地站起来,惊讶,zh
用尾巴扫脸,调皮,zh
脸红到耳根,害羞,zh
紧缩,心动,zh
哭到腿软,哭泣,zh
没精神,平静,zh
脚趾抠地,难为情,zh
歪嘴露出苦笑,无奈,zh
寡淡,平静,zh
打哈欠,平静,zh
晒太阳,平静,zh
用纸卷敲头,调皮,zh
神色自若,平静,zh
害羞地清清嗓子,害羞,zh
挑眉,自信,zh
害羞地别开视线,害羞,zh
尾巴害怕地抖动,害怕,zh
不安,担心,zh
羞耻漏字,难为情,zh
everything is happening at once,慌张,en
疑惑地歪着尾巴思考你的解释,疑惑,zh
轻轻摇头不再反驳,无奈,zh
用勺子敲头,调皮,zh
困惑地歪着脑袋思考问题,疑惑,zh
把笔插头发,调皮,zh
不解地歪着尾巴,疑惑,zh
皱着眉咬着笔,认真,zh
胆战心惊,惊讶,zh
眼泪啪嗒啪嗒掉,哭泣,zh
挺胸,自信,zh
不安地绞动手指,害羞,zh
游刃有余,自信,zh
紧绷着脸,认真,zh
沉稳,平静,zh
i have no idea what's going on,疑惑,en
攥紧拳头,紧张,zh
紧张地攥紧拳头,担心,zh
焦灼,心动,zh
酣睡,平静,zh
飛び跳ねたいほど楽しい,高兴,ja
there's nothing i can do,无奈,en
突然失忆,难为情,zh
吐舌,调皮,zh
悄悄捂住自己的脸,害羞,zh
低头快速记录,认真,zh
心が穏やかになった,平静,ja
无声,平静,zh
眼睛闪闪发光,高兴,zh
翻了个白眼但没说话,无奈,zh
生气地背过身,生气,zh
太意外了,惊讶,zh
惊奇万分,惊讶,zh
不解地歪着头思考你的说明,疑惑,zh
咽了口唾沫,慌张,zh
悄悄屏住呼吸,害怕,zh
假装要推倒,调皮,zh
悄悄吞了口口水,害羞,zh
不解地歪着头思考你的话,疑惑,zh
同归于尽,生气,zh
許せない気持ちでいっぱい,生气,ja
害怕地低下头,害怕,zh
渴求内射,心动,zh
嫌弃地抬起下巴,厌恶,zh
不紧不慢地分析,认真,zh
瞠目结舌,惊讶,zh
兴奋地扑腾爪子,高兴,zh
振奋,高兴,zh
缓缓地梳理思路,认真,zh
紧张地揪衣摆,紧张,zh
害怕地哆嗦着说话,害怕,zh
手指轻敲桌面,认真,zh
诧异,惊讶,zh
发情期至,心动,zh
集中して取り組んでいる,认真,ja
快乐地上下点头,高兴,zh
用指甲轻轻刮桌面,无奈,zh
幽静,平静,zh
担心地握紧双手,担心,zh
用手指点着桌面计数,无奈,zh
充血,心动,zh
用手指轻轻敲额头,无奈,zh
不断调整衣领,紧张,zh
睥睨四方,自信,zh
平和,平静,zh
超然,平静,zh
慌张,慌张,zh
突然口吃,难为情,zh
沉睡,平静,zh
松口气,平静,zh
惊恐地瑟瑟发抖,害怕,zh
激动地抓着书包跳,高兴,zh
皱着眉头嘟囔,厌恶,zh
吃惊,惊讶,zh
想睡觉,平静,zh
害羞地捂住了脸,害羞,zh
用尾巴轻轻拍自己小腿,无奈,zh
不可能吧,惊讶,zh
this makes absolutely no sense,疑惑,en
ムカついてものも言えない,生气,ja
哭到晕眩,哭泣,zh
眼神充满怨念,生气,zh
怡然,平静,zh
捣蛋,调皮,zh
手指蜷缩,紧张,zh
把书立脸上,调皮,zh
摆弄着计算器,认真,zh
瞳孔微微缩小,慌张,zh
尾巴高高翘起,高兴,zh
疑惑地竖起耳朵听,疑惑,zh
厌恶地撇开目光,厌恶,zh
摇晃着尾巴,高兴,zh
双手紧紧抱着尾巴,害羞,zh
激动地抓着头发,高兴,zh
my heart skips a beat when i see you,心动,en
呼吸急促地喘息,害怕,zh
当场融化,难为情,zh
旁观,平静,zh
气得直喘气,生气,zh
哭到仰头,哭泣,zh
my heart is pounding with terror,害怕,en
热锅上的蚂蚁,慌张,zh
兴奋地拍打桌面,高兴,zh
愕然无语,惊讶,zh
生气地翘起耳朵,生气,zh
不安地左右晃动,慌张,zh
心急火燎,慌张,zh
困乏,平静,zh
提心吊胆,紧张,zh
緊張で声が震える,紧张,ja
羞耻漏感,难为情,zh
tears are streaming down my face,哭泣,en
盯着你不说话,生气,zh
无所谓,平静,zh
冷哼一声扭头,生气,zh
偷看了一下又赶紧移开目光,害羞,zh
难以置信,惊讶,zh
耳朵僵硬地立着,紧张,zh
i was completely shocked,惊讶,en
站立变得僵硬,紧张,zh
平缓,平静,zh
扭头看向窗外发呆,无奈,zh
慌张地低头,慌张,zh
轻轻拍打爪子,高兴,zh
臣服天性,心动,zh
认真思考,认真,zh
耍滑,调皮,zh
难为情地抿嘴,难为情,zh
呆然,平静,zh
瑟缩着抱紧自己,害怕,zh
困惑地竖起一根手指,疑惑,zh
this is the best day ever,高兴,en
沉思着摸下巴,认真,zh
眉头紧皱,厌恶,zh
狠狠瞪了你一眼,生气,zh
激动,高兴,zh
厌恶地撇嘴,厌恶,zh
专注地盯着你,认真,zh
后退一步远离,厌恶,zh
轻轻拽着自己的袖子,害羞,zh
焦虑,担心,zh
红着脸点了点头,害羞,zh
同归于尽式宣言,生气,zh
绝望,紧张,zh
神色淡然,平静,zh
把袖子拉长盖住手掌,无奈,zh
i don't know what to do,慌张,en
快乐地前后摆动脑袋,高兴,zh
紧张地来回踱步,紧张,zh
my heart is so full of joy,高兴,en
冷哼一声撇过头,生气,zh
轻轻耸了耸鼻子,厌恶,zh
面无表情地看向远方,无奈,zh
i'm completely lost,疑惑,en
晴天霹雳,惊讶,zh
嫌弃地后退一步,厌恶,zh
皱着眉沉默,生气,zh
把手放进衣兜里叹气,无奈,zh
淡定,平静,zh
紧张地吞咽口水,紧张,zh
害怕地蜷缩起身体,害怕,zh
脚步慌乱,慌张,zh
鼓着腮帮,生气,zh
自暴自弃,慌张,zh
撇嘴哼了一声,生气,zh
双手交叉思考,认真,zh
渴求生殖,心动,zh
惊讶不已,惊讶,zh
反感地转过头,厌恶,zh
气得尾巴炸毛,生气,zh
佛系,平静,zh
快乐地前后晃动身体,高兴,zh
狂喜,高兴,zh
不好意思地扯衣角,难为情,zh
兴奋地手都不知道放哪,高兴,zh
神经紧绷,紧张,zh
心如止水,平静,zh
骇人听闻,惊讶,zh
偷瞄了一眼又迅速移开,害羞,zh
哭湿枕头,哭泣,zh
哽咽,哭泣,zh
耳朵轻轻抖动,害羞,zh
轻哼了一声,厌恶,zh
低头盯着地板,紧张,zh
低头回避目光,紧张,zh
耳朵紧紧贴着头,害怕,zh
so excited i can hardly sit still,高兴,en
尾巴不安地摆动,慌张,zh
不慌不忙地整理,认真,zh
惊愕地捂住嘴,惊讶,zh
兴奋地原地小跑,高兴,zh
嘴角抽搐了一下,厌恶,zh
犯困,平静,zh
浅睡,平静,zh
惊得说不出话,惊讶,zh
怒气冲冲地甩尾巴,生气,zh
突然结冰,难为情,zh
疯狂摇头,难为情,zh
惊讶地放下手中的东西,惊讶,zh
运筹决胜,自信,zh
低头看着报告,认真,zh
尾巴害怕地夹起来,害怕,zh
坏笑,调皮,zh
狡黠地偷笑,调皮,zh
哭到脱力,哭泣,zh
激动地抓着玩偶跳,高兴,zh
耳朵紧张地抖动,紧张,zh
忘情呻吟,心动,zh
兴奋地拍打车窗,高兴,zh
风平浪静,平静,zh
双手紧紧抱在胸前,紧张,zh
慌手慌脚,慌张,zh
翻阅资料,认真,zh
轻轻靠近又立刻后退,害羞,zh
甘甜信息素,心动,zh
泪湿衣襟,哭泣,zh
肌肤泛粉,心动,zh
用橡皮砸人,调皮,zh
completely focused on the task,认真,en
额头冒汗,紧张,zh
突然重启,难为情,zh
讶异,惊讶,zh
哭花妆容,哭泣,zh
害怕地抱住自己,害怕,zh
突然眼睛一亮,高兴,zh
翻了个不屑的眼神,厌恶,zh
假装要踢人,调皮,zh
小声哼着歌,高兴,zh
快乐地前后蹦跳,高兴,zh
闻之色变,惊讶,zh
把帽子反戴,调皮,zh
跳起来抱住你,高兴,zh
i can't stop sobbing,哭泣,en
握笔沉思,认真,zh
顔を隠したい気分,害羞,ja
突然背起来,调皮,zh
靠在墙上放空大脑,无奈,zh
偷笑,调皮,zh
泪珠悬垂,哭泣,zh
用吸管喷水,调皮,zh
眼神飘忽不定,紧张,zh
尾巴僵硬地晃动,紧张,zh
耳朵竖得笔直,高兴,zh
泪如雨下,哭泣,zh
记忆性快感,心动,zh
索求无度,心动,zh
困倦,平静,zh
眉头紧锁,认真,zh
头顶冒烟,难为情,zh
小心翼翼地书写,认真,zh
嫌弃地翻白眼,厌恶,zh
葛优躺,平静,zh
いたずら心が抑えきれない,调皮,ja
托腮发呆不想回应,无奈,zh
hands are shaking uncontrollably,紧张,en
反感地僵住,厌恶,zh
躲在角落里缩成一团,害怕,zh
静谧,平静,zh
手插腰生闷气,生气,zh
忧心地看着你,担心,zh
伸懒腰,平静,zh
紧张地搓着手指,害怕,zh
微微侧过脸颊,害羞,zh
恶心地捂住嘴,厌恶,zh
担心地咬着下唇,担心,zh
气宇轩昂,自信,zh
用尾巴轻轻拍打地面,无奈,zh
平静,平静,zh
雀跃地跳了两下,高兴,zh
把下巴搁在桌子上,无奈,zh
焦虑地捏着手指,担心,zh
羞耻漏键,难为情,zh
泪流满面,哭泣,zh
突然捏腰肉,调皮,zh
抱紧自己,慌张,zh
小心翼翼地后退,慌张,zh
焦虑地揉着耳朵,担心,zh
主动引导,心动,zh
羞耻捂耳,难为情,zh
主动张开,心动,zh
不知所措,慌张,zh
嘴角微微翘起露出不屑,厌恶,zh
梦游,平静,zh
羞耻尖叫,难为情,zh
不安地调整站姿,紧张,zh
不解,疑惑,zh
惊讶地顿住,惊讶,zh
镇静,平静,zh
难以置信地眨眼,惊讶,zh
饿极,哭泣,zh
酥麻,心动,zh
惊喘,惊讶,zh
惊视,惊讶,zh
激动地抓着围巾转圈,高兴,zh
求偶鸣叫,心动,zh
臣服强者,心动,zh
嘴唇抿成一条线,紧张,zh
终极反击,生气,zh
用尾巴轻轻扫过地板,无奈,zh
闭目,平静,zh
唾手可得,自信,zh
沉稳地书写,认真,zh
突然学鸟啾,调皮,zh
嘴巴微微撅起,厌恶,zh
咬着嘴唇哭,哭泣,zh
皱眉不满,生气,zh
泪滑颈线,哭泣,zh
偷偷吸了一口气,害羞,zh
眼神躲闪,慌张,zh
羞赧地搓手指,难为情,zh
担心地握紧手,担心,zh
害羞地撩了撩头发,害羞,zh
羞耻漏码,难为情,zh
懒得动,平静,zh
眯起眼睛笑,高兴,zh
困惑地托着下巴,疑惑,zh
恬静,平静,zh
狡黠地眨眼睛,调皮,zh
从容,平静,zh
撅起嘴不理人,生气,zh
低声重复知识点,认真,zh
扶额摇头,无奈,zh
喜欢,心动,zh
索然无味,平静,zh
猛然一惊,惊讶,zh
看窗外,平静,zh
大气不敢出,紧张,zh
性感带开发,心动,zh
轻快地摇着尾巴,高兴,zh
扮鬼脸,调皮,zh
难为情地低头,难为情,zh
眼里闪着思考的光,认真,zh
心无旁骛地研究,认真,zh
抱着尾巴转圈,高兴,zh
无奈地叹了口气,无奈,zh
世界观崩塌,慌张,zh
气得耳朵颤抖,生气,zh
愕然地僵在原地,惊讶,zh
心若冰清,平静,zh
开心地轻轻哼歌,高兴,zh
不动声色,平静,zh
抱紧自己的尾巴,害怕,zh
小声嘟囔,害羞,zh
单手撑脸生无可恋,无奈,zh
沉寂,平静,zh
漠然,平静,zh
如坐针毡,慌张,zh
低头沉思,认真,zh
专注地盯着课本,认真,zh
从容不迫,自信,zh
眉头皱得更深了,厌恶,zh
激动地抓着靠垫跳,高兴,zh
慌ててドタバタしている,慌张,ja
羞耻假死,难为情,zh
用脚尖轻轻点地打发时间,无奈,zh
忧心地皱起眉头,担心,zh
成竹在胸,自信,zh
厌恶地眯起眼,厌恶,zh
慌张地搓手,慌张,zh
激动地抓着零食跳,高兴,zh
开心地蹦跳着转圈,高兴,zh
泪湿鬓角,哭泣,zh
朦胧,平静,zh
慌乱地张望四周,害怕,zh
翻阅笔记,认真,zh
静卧,平静,zh
淡定从容,自信,zh
nothing about this adds up,疑惑,en
面不改色,平静,zh
小声地嘀咕,害羞,zh
别过脸不想继续话题,无奈,zh
突然反击,生气,zh
咧开嘴露出小尖牙,高兴,zh
突然宕机,难为情,zh
i'm so worried about the outcome,担心,en
点头确认,认真,zh
紧张地手心出汗,紧张,zh
扑进你怀里,高兴,zh
掌控全场,自信,zh
疑惑地歪着头表示不解,疑惑,zh
疑惑地歪着尾巴思考你的描述,疑惑,zh
害羞地搓了搓手指,害羞,zh
摆动着尾巴蹦跶,高兴,zh
声を出して泣いている,哭泣,ja
燥热,心动,zh
害怕地哆嗦,害怕,zh
耳朵害羞地耷拉下来,害羞,zh
用手指轻轻敲膝盖,无奈,zh
脚尖轻点地面,紧张,zh
不关心,平静,zh
惊恐地炸毛,害怕,zh
撅着嘴巴闷闷不乐,生气,zh
羞耻扭动,难为情,zh
双手抱胸一脸不耐烦,厌恶,zh
自得,平静,zh
鼻子皱起冷哼,生气,zh
稳坐钓鱼,自信,zh
拖着脚步慢慢走开,无奈,zh
疑惑地歪着头表示不太理解,疑惑,zh
炸毛,生气,zh
晃椅子腿,调皮,zh
耷拉着耳朵叹气,无奈,zh
颤抖,紧张,zh
轻轻捂住嘴巴,害羞,zh
用手指轻轻敲大腿,无奈,zh
身体不安地后缩,害怕,zh
不知所措地站着,慌张,zh
もうどうでもいいや,无奈,ja
不安地搓着手,担心,zh
双手一摊表示认输,无奈,zh
雌伏本能,心动,zh
瞪大眼睛不敢动弹,害怕,zh
疑惑地摸摸耳朵,疑惑,zh
尾巴甩来甩去,高兴,zh
崇拜生殖力,心动,zh
愤怒地扭头,生气,zh
尾巴翘得更高了,高兴,zh
好奇地竖起耳朵,疑惑,zh
认真地敲打键盘,认真,zh
轻轻拉住衣角,害羞,zh
声音发颤,紧张,zh
哭到蹲下,哭泣,zh
幻想受孕,心动,zh
突然蓝屏,难为情,zh
发情期呻吟,心动,zh
平息,平静,zh
翻开新的一页,认真,zh
恐惧地握紧手,害怕,zh
不安地踢了踢地面,害羞,zh
仕方ないと諦める,无奈,ja
尾椎发麻,心动,zh
用手梳了梳耳朵的毛,无奈,zh
不安地舔嘴唇,担心,zh
小憩,平静,zh
沉浸在书本里,认真,zh
叉腰怒视,生气,zh
羞耻漏网,难为情,zh
怖くて震えが止まらない,害怕,ja
用指节轻轻敲肩膀,无奈,zh
吐き気がするほど不快,厌恶,ja
稳如泰山,自信,zh
轻轻叹气调整呼吸,紧张,zh
腺体肿胀,心动,zh
紧张得抖了抖耳朵,害羞,zh
忧虑,担心,zh
i can't stop smiling today,高兴,en
错愕万分,惊讶,zh
害怕地环抱住自己,害怕,zh
眼神带着怒火,生气,zh
i'm absolutely petrified,害怕,en
喝喝茶,平静,zh
瑟瑟发抖,害怕,zh
尾巴炸开,生气,zh
不解地歪着头思考你的问题,疑惑,zh
翻着白眼,生气,zh
心跳加速,慌张,zh
惊恐地缩脖子,害怕,zh
手指轻轻戳着衣角,害羞,zh
石破天惊,惊讶,zh
不解地眨眨眼,疑惑,zh
用手指轻轻点鼻梁,无奈,zh
so annoyed i could scream,生气,en
用抱枕压人,调皮,zh
惊跳,惊讶,zh
无声地掉眼泪,哭泣,zh
快乐地左右摇晃椅子,高兴,zh
隔岸观火,平静,zh
冷冷地盯了一眼,厌恶,zh
惊诧,惊讶,zh
端正坐姿,认真,zh
心头一震,惊讶,zh
假装要撞人,调皮,zh
拍桌子,生气,zh
拍案惊奇,惊讶,zh
转圈圈转个不停,高兴,zh
嘴角勾起弧度,高兴,zh
扬颌,自信,zh
快乐地哼着歌转圈,高兴,zh
抱着胳膊冷哼,生气,zh
深眠,平静,zh
疑惑地歪着尾巴思考你的说明,疑惑,zh
把衣领竖起来遮脸,无奈,zh
激动地抓着衣角跳,高兴,zh
嘴唇微微颤抖,害羞,zh
清静,平静,zh
开心地伸个懒腰,高兴,zh
this is so unexpected,惊讶,en
顔が熱くなるほど恥ずかしい,害羞,ja
休憩,平静,zh
无动于衷,平静,zh
抱头蹲防,难为情,zh
揪尾巴,调皮,zh
不安地看向远处,担心,zh
突然抱紧,调皮,zh
贪恋体温,心动,zh
傲视群雄,自信,zh
突然抬头眼睛亮晶晶,高兴,zh
淡然处之,平静,zh
双腿发软,心动,zh
撇过头去不想理睬,厌恶,zh
把手放在腰侧叹气,无奈,zh
泪浸衣领,哭泣,zh
低头轻轻叹了口气,厌恶,zh
用尾巴挡住脸不想看,无奈,zh
不解地歪着脑袋,疑惑,zh
没辙,无奈,zh
兴奋地踢踏着脚,高兴,zh
尾巴摇得像风车,高兴,zh
月朗风清,平静,zh
眼神不安地四处张望,害怕,zh
泪落如豆,哭泣,zh
哭到语塞,哭泣,zh
惊慌地倒退两步,害怕,zh
调皮地做鬼脸,调皮,zh
兴奋地拍打胸口,高兴,zh
羞耻咬舌,难为情,zh
担心地绞着衣角,担心,zh
红着脸不敢说话,害羞,zh
惊慌地后退,害怕,zh
害怕地躲到角落,害怕,zh
手指轻轻绞在一起,害羞,zh
梨花带雨,哭泣,zh
厌恶地移开视线,厌恶,zh
激动得说话都破音,高兴,zh
不解地歪着耳朵,疑惑,zh
全神贯注地听讲,认真,zh
目瞪口呆,惊讶,zh
迷惑地看着,疑惑,zh
下意识地捏紧拳头,紧张,zh
用尾巴悄悄挡住自己,害羞,zh
无趣,平静,zh
紧张到抖腿,紧张,zh
甩着尾巴生气,生气,zh
露出满足的笑容,高兴,zh
发抖,紧张,zh
妥协,无奈,zh
脸颊泛红,害羞,zh
愤怒地翘起尾巴,生气,zh
慌张地结巴,慌张,zh
思考着点了点头,认真,zh
不解地摊手,疑惑,zh
不解地歪着耳朵听你说明,疑惑,zh
核威胁,生气,zh
羞赧地躲闪目光,难为情,zh
把笔帽藏起,调皮,zh
笔直地坐着,认真,zh
说话打结,慌张,zh
紧张地揪着衣服,害羞,zh
握拳不满,生气,zh
紧张,紧张,zh
羞愤欲死,生气,zh
纳闷地翻看,疑惑,zh
用脚趾夹人,调皮,zh
害怕地缩成一团,害怕,zh
激动地抓着枕头跳,高兴,zh
把手放在膝盖上握紧,无奈,zh
担心地咬嘴唇,担心,zh
诧异地挑眉,惊讶,zh
寂静,平静,zh
疑惑地歪着尾巴思考你说的话,疑惑,zh
嘴巴微微上扬,高兴,zh
胸有丘壑,自信,zh
